Site,SP21_1,SP21_2,SP21_3,SU21_1,SU21_2,SU21_3,FA21_1,FA21_2,FA21_3,SP22_1,SP22_2,SP22_3,SU22_1,SU22_2,SU22_3,FA22_1,FA22_2,FA22_3
1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1
8,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,1,1,1
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
111,0,0,0,0,0,0,1,1,1,0,0,0,1,2,1,0,0,1
117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
135,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
136,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1
142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,2,1,2
162,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
205,0,0,0,1,3,1,1,2,1,0,0,0,1,0,0,0,1,2
214,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
216,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,3
221,0,0,0,0,0,1,1,3,3,0,0,0,0,0,0,0,0,0
222,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
223,0,0,0,0,1,0,2,4,3,0,0,0,0,0,0,0,1,1
225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
229,0,0,0,1,1,1,0,2,2,0,0,0,0,0,0,1,0,NA
245,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
246,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0
250,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0
255,0,0,0,0,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
256,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
269,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
274,0,0,0,0,1,0,4,5,3,0,0,0,1,2,2,0,2,2
288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
