Site,SP21_1,SP21_2,SP21_3,SU21_1,SU21_2,SU21_3,FA21_1,FA21_2,FA21_3,SP22_1,SP22_2,SP22_3,SU22_1,SU22_2,SU22_3,FA22_1,FA22_2,FA22_3
1,0,0,0,0,1,0,1,1,3,0,1,3,1,1,3,2,3,4
8,1,1,NA,2,1,4,3,6,4,2,2,2,3,3,3,5,4,3
11,NA,0,0,0,2,2,1,3,3,2,2,2,3,2,4,3,2,2
12,NA,0,0,1,1,1,2,2,2,1,3,2,2,4,2,3,1,4
17,0,0,0,1,2,3,2,2,2,0,1,2,3,4,3,3,1,3
23,0,0,0,0,0,0,1,0,1,0,0,0,1,3,3,0,0,1
83,0,0,0,2,4,6,5,4,3,3,1,0,2,6,6,1,2,3
88,0,0,0,1,1,1,2,3,3,1,0,3,3,8,10,2,1,3
90,0,1,1,2,4,6,3,7,9,4,3,3,0,6,7,5,7,5
111,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
117,0,0,0,2,3,4,0,2,2,0,0,1,1,1,2,1,2,2
120,0,0,0,0,0,0,3,3,3,1,0,3,1,1,1,0,1,2
122,1,0,1,2,2,5,5,5,5,1,2,2,3,3,6,5,5,2
123,0,0,0,1,4,3,0,0,1,0,0,0,0,1,1,0,3,3
124,0,0,0,1,1,1,0,0,0,1,2,1,0,4,4,2,4,5
135,6,6,4,5,6,8,5,4,7,2,0,2,2,4,4,2,2,3
136,1,0,1,7,9,9,6,7,7,4,4,6,7,6,7,2,2,5
140,2,1,1,2,3,3,2,4,3,0,2,2,2,4,0,1,0,0
142,2,0,2,7,5,8,8,7,7,1,3,2,3,5,4,1,4,2
143,1,1,2,5,6,7,3,6,9,2,2,0,2,2,3,1,2,1
147,2,2,6,6,8,6,8,7,4,3,2,1,4,6,5,6,3,0
148,0,4,2,7,5,5,4,6,6,0,0,1,3,6,5,1,2,5
161,0,0,0,1,0,0,3,3,2,1,4,2,3,3,3,0,3,1
162,0,0,0,0,2,3,5,4,3,5,4,3,2,2,1,0,4,3
205,0,0,0,4,3,4,4,3,3,0,0,0,0,0,0,1,2,2
214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
216,1,0,1,0,2,2,2,1,0,0,0,0,2,1,1,3,1,3
221,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
222,0,1,2,2,0,1,4,3,4,1,2,0,1,2,2,2,3,3
223,0,0,0,1,3,2,2,0,3,0,0,0,0,0,0,0,1,0
225,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,NA
227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
229,1,1,1,3,2,2,1,4,4,1,1,0,3,2,2,0,4,NA
245,1,1,2,3,0,2,0,2,4,2,4,4,3,1,2,5,4,4
246,2,2,2,0,0,NA,0,2,3,0,0,0,4,4,1,3,3,0
250,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,3,3,2
255,1,2,4,3,2,3,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
256,0,0,0,1,2,2,3,3,4,0,1,1,1,1,1,3,2,2
260,0,0,0,0,0,2,1,1,4,2,2,1,2,4,2,2,4,3
264,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0
269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,0,0,1,3,4,3,3,2,5,0,0,0,3,1,2,2,1,2
288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
289,0,1,2,1,2,2,3,5,6,2,3,3,5,7,5,1,4,0
295,0,0,0,0,1,6,2,0,3,0,1,0,3,4,3,NA,NA,NA
