Site,moon_SP21_1,moon_SP21_2,moon_SP21_3,moon_SU21_1,moon_SU21_2,moon_SU21_3,moon_FA21_1,moon_FA21_2,moon_FA21_3,moon_SP22_1,moon_SP22_2,moon_SP22_3,moon_SU22_1,moon_SU22_2,moon_SU22_3,moon_FA22_1,moon_FA22_2,moon_FA22_3
1,0.741,0.831,0.907,0.094,0.169,0.263,0.36,0.268,0.184,0.714,0.799,0.874,0.725,0.624,0.519,0.003,0.025,0.07
8,0.923,0.85,0.477,0.97,0.924,0.86,0.147,0.077,0.05,0.731,0.621,0.504,0.003,0.007,0.03,0.048,0.109,0.193
11,0.477,0.998,0.974,0.97,0.924,0.86,0.147,0.077,0.05,0.731,0.621,0.504,0.003,0.007,0.03,0.048,0.109,0.193
12,0.477,0.998,0.974,0.97,0.924,0.86,0.147,0.077,0.05,0.731,0.621,0.504,0.003,0.007,0.03,0.048,0.109,0.193
17,0.741,0.831,0.907,0.094,0.169,0.263,0.36,0.268,0.184,0.714,0.799,0.874,0.725,0.624,0.519,0.003,0.025,0.07
23,0.105,0.17,0.248,0.094,0.169,0.263,0.36,0.268,0.184,0.714,0.799,0.874,0.725,0.624,0.519,0.003,0.025,0.07
83,0.027,0.067,0.123,0.782,0.695,0.602,0.646,0.749,0.837,0.281,0.11,0.052,0.99,0.955,0.896,0.993,0.966,0.92
88,0.027,0.067,0.123,0.782,0.695,0.602,0.646,0.749,0.837,0.281,0.11,0.052,0.99,0.955,0.896,0.993,0.966,0.92
90,0.027,0.067,0.123,0.782,0.695,0.602,0.646,0.749,0.837,0.281,0.11,0.052,0.99,0.955,0.896,0.993,0.966,0.92
111,0.015,0.001,0.005,0.297,0.405,0.521,0.053,0.015,0.001,0.964,0.908,0.829,0.132,0.21,0.303,0.153,0.091,0.043
117,0.949,0.988,1,0.413,0.322,0.237,0.012,0.005,0.034,0.999,0.976,0.927,0.093,0.047,0.016,0.013,0,0.011
120,0.949,0.988,1,0.413,0.322,0.237,0.012,0.005,0.034,0.999,0.976,0.927,0.093,0.047,0.016,0.013,0,0.011
122,0.282,0.38,0.486,0.162,0.098,0.048,0.991,0.964,0.923,0.935,0.977,0.998,0.837,0.914,0.968,0.139,0.227,0.33
123,0.282,0.38,0.486,0.162,0.098,0.048,0.991,0.964,0.923,0.935,0.977,0.998,0.837,0.914,0.968,0.139,0.227,0.33
124,0.282,0.38,0.486,0.162,0.098,0.048,0.991,0.964,0.923,0.935,0.977,0.998,0.837,0.914,0.968,0.139,0.227,0.33
135,0.949,0.988,1,0.413,0.322,0.237,0.012,0.005,0.034,0.999,0.976,0.927,0.093,0.047,0.016,0.013,0,0.011
136,0.949,0.988,1,0.413,0.322,0.237,0.012,0.005,0.034,0.999,0.976,0.927,0.093,0.047,0.016,0.013,0,0.011
140,0.282,0.38,0.486,0.162,0.098,0.048,0.991,0.964,0.923,0.935,0.977,0.998,0.837,0.914,0.968,0.139,0.227,0.33
142,0.595,0.702,0.8,0.002,0.01,0.04,0.958,0.988,0.996,0.854,0.761,0.655,0.408,0.521,0.634,0.859,0.784,0.701
143,0.595,0.702,0.8,0.002,0.01,0.04,0.958,0.988,0.996,0.854,0.761,0.655,0.408,0.521,0.634,0.859,0.784,0.701
147,0.595,0.702,0.8,0.002,0.01,0.04,0.958,0.988,0.996,0.854,0.761,0.655,0.408,0.521,0.634,0.859,0.784,0.701
148,0.595,0.702,0.8,0.002,0.01,0.04,0.958,0.988,0.996,0.854,0.761,0.655,0.408,0.521,0.634,0.859,0.784,0.701
161,0.741,0.831,0.907,0.094,0.169,0.263,0.36,0.268,0.184,0.714,0.799,0.874,0.725,0.624,0.519,0.003,0.025,0.07
162,0.974,0.923,0.85,0.97,0.924,0.86,0.147,0.077,0.05,0.731,0.621,0.504,0.003,0.007,0.03,0.048,0.109,0.193
205,0.741,0.831,0.907,0.094,0.169,0.263,0.36,0.268,0.184,0.714,0.799,0.874,0.725,0.624,0.519,0.003,0.025,0.07
214,0.545,0.436,0.333,0.061,0.121,0.2,0.305,0.418,0.534,0.837,0.909,0.963,0.931,0.978,0.998,0.87,0.936,0.477
216,0.24,0.16,0.095,0.025,0.004,0.003,0.013,0.051,0.115,0.559,0.657,0.751,0.561,0.67,0.772,0.564,0.679,0.782
221,0.24,0.16,0.095,0.025,0.004,0.003,0.013,0.051,0.115,0.559,0.657,0.751,0.561,0.67,0.772,0.564,0.679,0.782
222,0.24,0.16,0.095,0.025,0.004,0.003,0.013,0.051,0.115,0.559,0.657,0.751,0.561,0.67,0.772,0.564,0.679,0.782
223,0.24,0.16,0.095,0.025,0.004,0.003,0.013,0.051,0.115,0.559,0.657,0.751,0.561,0.67,0.772,0.564,0.679,0.782
225,0.545,0.436,0.333,0.061,0.121,0.2,0.305,0.418,0.534,0.837,0.909,0.963,0.931,0.978,0.998,0.87,0.936,0.477
227,0.545,0.436,0.333,0.061,0.121,0.2,0.305,0.418,0.534,0.837,0.909,0.963,0.931,0.978,0.998,0.87,0.936,0.477
229,0.545,0.436,0.333,0.061,0.121,0.2,0.305,0.418,0.534,0.837,0.909,0.963,0.931,0.978,0.998,0.87,0.936,0.477
245,0.105,0.17,0.248,0.97,0.996,0.995,0.644,0.551,0.456,0.03,0.072,0.128,0.416,0.319,0.231,0.407,0.524,0.639
246,0.105,0.17,0.248,0.97,0.996,0.477,0.644,0.551,0.456,0.03,0.072,0.128,0.416,0.319,0.231,0.407,0.524,0.639
250,0.105,0.17,0.248,0.97,0.996,0.995,0.644,0.551,0.456,0.03,0.072,0.128,0.416,0.319,0.231,0.407,0.524,0.639
255,0.015,0.001,0.005,0.97,0.996,0.995,0.644,0.551,0.456,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477,0.477
256,0.923,0.85,0.758,0.97,0.996,0.995,0.644,0.551,0.456,0.964,0.908,0.829,0.416,0.319,0.231,0.407,0.524,0.639
260,0.003,0.021,0.055,0.745,0.843,0.918,0.933,0.877,0.809,0.197,0.277,0.366,0.254,0.348,0.452,0.247,0.169,0.101
264,0.923,0.85,0.758,0.297,0.405,0.521,0.053,0.015,0.001,0.964,0.908,0.829,0.132,0.21,0.303,0.153,0.091,0.043
269,0.015,0.001,0.005,0.297,0.405,0.521,0.053,0.015,0.001,0.964,0.908,0.829,0.132,0.21,0.303,0.153,0.091,0.043
274,0.015,0.001,0.005,0.297,0.405,0.521,0.053,0.015,0.001,0.964,0.908,0.829,0.132,0.21,0.303,0.153,0.091,0.043
288,0.003,0.021,0.055,0.745,0.843,0.918,0.933,0.877,0.809,0.197,0.28,0.366,0.254,0.348,0.452,0.247,0.169,0.101
289,0.003,0.021,0.055,0.745,0.843,0.918,0.933,0.877,0.809,0.197,0.28,0.366,0.254,0.348,0.452,0.247,0.169,0.101
295,0.003,0.021,0.055,0.745,0.843,0.918,0.933,0.877,0.809,0.197,0.28,0.366,0.254,0.348,0.452,0.477,0.477,0.477
