Site,temp_SP21_1,temp_SP21_2,temp_SP21_3,temp_SU21_1,temp_SU21_2,temp_SU21_3,temp_FA21_1,temp_FA21_2,temp_FA21_3,temp_SP22_1,temp_SP22_2,temp_SP22_3,temp_SU22_1,temp_SU22_2,temp_SU22_3,temp_FA22_1,temp_FA22_2,temp_FA22_3
1,0.2,10.1,7.6,19.7,23.7,13.7,20.4,21.4,20.6,8.7,5.6,20.5,19.2,21,22.9,12.4,9.9,4.4
8,14.3,14.5,15.2,18.4,22.2,25.4,4.9,6.3,3.1,6.7,13.9,19.1,22.4,19.5,16.5,5,5.6,4.9
11,15.2,18.1,14.8,19.3,22.1,27.6,-0.2,0.5,4.9,8.7,11.8,16.6,24,18,16.5,4.3,5.8,2.5
12,15.2,17.8,14.8,19,22.1,26.6,0.7,0.6,3.8,8.8,12.5,19.1,22.7,21,15,5.1,6,3.9
17,-2.7,10,7.1,20.8,21.4,18,19.5,20,20.7,10.5,8.1,19.4,21,22.7,22.6,12.8,7.5,8.8
23,5.3,10.3,9.6,23,22.1,18.2,20.8,22.5,22.5,16.2,10.4,15.4,21.4,24.2,23.7,14.3,11.3,13.1
83,7,7,13.2,25.4,22.5,18.8,12.9,11.5,8.9,7.3,3.4,6.3,21.5,22.3,24.3,10.3,13.1,20.7
88,8,7.7,13,27.3,21.3,19.5,14.8,14.1,12.6,11.2,3.1,6.5,24.4,25.3,25.2,10.3,14,19.4
90,7.9,9.8,12.5,26.4,23.7,19.7,15,10.2,11.9,7.8,2.2,6.5,26,23.6,25.6,11.1,13.2,21.2
111,11.4,9.7,8.8,22.5,20.7,19.2,16.3,18.4,20.9,5.6,0.5,8.9,21.4,23.9,26.2,14.3,11.6,13.6
117,21,21.1,18.5,18.7,17.1,19.6,3.6,4,6,12.3,12.1,16.6,19.8,18.2,23.5,19.6,10,2.2
120,20.9,21.1,18.5,14.3,11.3,13.7,3.6,3.3,3.2,11.7,9.8,15.7,18.2,18.5,21.5,20.1,8.3,5.1
122,15.7,20,18.9,22.4,21.4,23.3,7.5,2.9,3.9,1.7,4.6,-0.2,24.4,18.5,18.7,8.5,14.1,13.9
123,15,17.2,19.3,20.1,22.3,24.4,6.9,5.7,4.7,2.1,2.4,-0.8,24.8,19.1,19.7,8.9,11.4,12
124,16,20.9,18.8,19.1,23.1,22.9,7.4,3.8,4.2,2.1,4,-0.3,25,18.5,19.4,9.5,10.1,13.9
135,21.6,21.8,18,16.7,19,18.5,5.7,6.6,7.3,12.6,13.7,12.9,24.1,19.7,22.6,20.4,7.8,9.3
136,20.4,21.7,18.7,16.2,15.9,17,7,6,9.1,14,16.3,15,20.5,17.9,23.5,20.5,9.6,8.2
140,16.8,20,20.1,20.8,22.5,24.3,11.3,7.4,2.5,4,5,1.3,25.6,20.2,19.9,10.9,13.2,14
142,21,19.8,22.7,24.7,26.1,26.4,6.6,8.2,17.7,18.7,20.7,9.4,20.8,19.7,22.9,5,1.2,-1.4
143,18.8,20.4,21.1,27.8,23.4,24.5,5.3,10.4,15.5,16.4,21.2,11.3,18.7,20.2,24.1,4.5,1.4,-0.7
147,20.8,20.7,22.7,24.1,28.9,24.9,11.4,13.1,15.4,18.2,21.8,10.5,19.3,21.4,22.4,5.6,2.1,4.6
148,19.4,19.5,23.5,26.9,28.7,27,12.2,12.7,21.4,19.8,22.1,11.6,19,19.4,24.3,7.8,3.4,-0.2
161,0.6,10.1,5.5,17,22.7,13.7,18.1,20,18.4,8.5,1.8,19.4,19.2,21,22.1,11.5,5.7,4.2
162,14.2,16.2,16.5,18.4,23.6,29.1,8.6,3,4.1,3.9,11.5,19.1,22.4,19.1,15.3,10.2,5.9,5.6
205,2.2,11.6,9.6,23.2,23.4,17,21.6,23.9,22,13.7,13.4,14.4,22,23.4,23,13.8,12.3,11.2
214,19.8,13.6,6.6,19.2,20.6,20.8,15.9,11.4,15.7,24.6,21.1,16.6,24.5,18.3,20.4,11.5,6.1,15.2
216,11,10.5,5.2,21.9,19.7,19.3,19,18,17.1,20.1,25,24,25.5,26.1,20.9,9.4,10.4,11
221,9.8,9.6,4,21.2,18.4,16.4,20.5,17.5,17.2,18.2,22.4,22.9,25.8,24.1,21.3,9.4,6.1,12.3
222,9.7,6,3.5,20.5,18.4,18.1,19.7,20.6,17.4,16.8,22.2,23.1,25.9,26.2,22.1,9.4,6.3,9
223,10.7,5.5,4.7,23,18.6,19.1,21.1,19,17,20.6,22.8,23.3,25.9,24,21,8.3,7.3,10.7
225,18.8,14.8,8,19.8,19.1,20.1,15.1,12.1,15.1,24.4,22,17.1,23.7,19.7,22.6,9.8,9,15.2
227,18.8,16,7.8,19.3,18.5,21.2,15,11.6,16.6,24.9,22.5,18.2,22.7,20.4,19.1,9.8,7.3,15.2
229,19.9,12.8,7.3,20.3,21.5,21.7,14,14.8,16,25.6,18.4,13.5,21.8,17.7,17.8,8,7,15.2
