trapLine,canopy,shrub,tallHerb,humanMod,imperv,lawn,water,contag
1,53.67,20,100,0,0,0,0,92.55596
8,56.25,30,60,40,0,40,0,70.47849
11,24,40,25,11.375,1.375,10,1,27.71665
12,0,0,10,46.75,41.75,5,0,38.16669
17,92.75,10,90,5,0,5,0,49.89327
23,85.5,10,70,50,30,20,1,20.34777
83,97.66,10,75,0,0,0,1,100
88,87,15,85,0,0,0,0,51.56902
90,92.91,5,60,0,0,0,1,36.46012
111,92.08,35,60,40,10,30,1,37.7932
117,0,0,20,30,30,0,0,68.43547
120,0,0,25,30,30,0,0,70.17998
122,70,30,85,5,5,0,1,28.97633
123,45,40,55,20,20,0,0,15.1071
124,52.25,30,55,25,10,15,0,15.66694
135,24,45,100,0,0,0,0,72.83435
136,50,5,75,0,0,0,0,97.24152
140,21.75,40,35,10,10,0,1,21.63607
142,97.3,30,60,0,0,0,1,52.85801
143,97.3,30,60,0,0,0,1,66.78142
147,96.34,10,90,0,0,0,0,37.15564
148,96.34,10,90,0,0,0,0,60.91907
161,51,70,75,0,0,0,1,77.02828
162,6.75,85,50,5,0,5,0,66.89077
205,7.25,5,10,85,25,60,1,41.81965
214,23.85,5,30,65,30,35,0,20.94025
216,37.68,10,35,65,25,40,1,21.0205
221,1.25,60,35,0,0,0,1,41.70533
222,26.8,35,15,0,0,0,1,57.46861
223,2.61,35,50,10,0,10,1,35.85769
225,0,10,40,25,10,15,1,44.62553
227,0,20,50,15,15,0,1,17.57337
229,92.8,20,60,25,0,25,1,13.70055
245,59.42,30,65,0,0,0,1,21.32003
246,46.36,20,35,5,0,5,0,33.51959
250,5.86,15,85,5,0,5,1,24.46129
255,11,65,60,15,0,15,1,26.55426
256,82.25,40,60,10,0,10,1,23.59948
260,53.58,10,80,20,0,20,1,51.37868
264,65.25,60,50,25,10,15,1,39.25622
269,9.6,15,35,50,40,10,0,22.70342
274,92.08,35,60,15,10,5,0,30.50343
288,0,10,55,30,0,30,0,100
289,74.09,0,35,25,5,20,1,71.65762
295,85.5,10,70,5,5,0,1,73.07913
